date,state,cases_avg,deaths_avg
2020-04-05,Pennsylvania,1164.14,17
2020-04-05,Oregon,74.14,2
2020-04-05,Oklahoma,117.43,4.29
2020-04-05,Ohio,339.71,12.71
2020-04-05,North Dakota,15.71,0.29
2020-04-05,North Carolina,202.71,4.43
2020-04-05,New York,9186,593.57
2020-04-05,New Mexico,55.29,1.43
2020-04-05,New Jersey,3445.57,108
2020-04-05,New Hampshire,58.71,0.86
2020-04-05,Nevada,137.14,4.43
2020-04-05,Nebraska,34.14,0.86
2020-04-05,Montana,19.57,0.71
2020-04-05,Missouri,209.29,5.71
2020-04-05,Mississippi,125.57,4.14
2020-04-05,Minnesota,61.57,2.86
2020-04-05,Michigan,1449.57,69.29
2020-04-05,Massachusetts,1077.86,26.14
2020-04-05,Maryland,337.86,8.14
2020-04-05,Maine,31,1
2020-04-05,Louisiana,1353.57,46.29
2020-04-05,Kentucky,87,5
2020-04-05,Kansas,62.29,2.29
2020-04-05,Iowa,76,2.57
2020-04-05,Indiana,416.43,15.86
2020-04-05,Illinois,951.57,30.29
2020-04-05,Idaho,112.86,0.57
2020-04-05,Hawaii,27.71,0.57
2020-04-05,Georgia,579.86,19.43
2020-04-05,Florida,1057,22.86
2020-04-05,District of Columbia,93.71,2.43
2020-04-05,Delaware,63,1.14
2020-04-05,Connecticut,526,22.14
2020-04-05,Colorado,376.43,13.29
2020-04-05,California,1268.71,31.29
2020-04-05,Arkansas,57.71,1.43
2020-04-05,Arizona,191.29,6.57
2020-04-05,Alaska,9.86,0.29
2020-04-05,Alabama,144.29,5.71
2020-04-06,Northern Mariana Islands,0.86,0.14
2020-04-06,Guam,29.43,0.43
2020-04-06,Puerto Rico,48.43,2.14
2020-04-06,Virgin Islands,2,0.14
2020-04-06,Wyoming,16.71,0
2020-04-06,Wisconsin,167.29,9
2020-04-06,West Virginia,28.86,0.43
2020-04-06,Washington,457.86,23.14
2020-04-06,Virginia,265.29,6.17
2020-04-06,Vermont,41,1.57
2020-04-06,Utah,122.29,1.29
2020-04-06,Texas,726.43,16.14
2020-04-06,Tennessee,290.29,7.43
2020-04-06,South Dakota,26.86,0.43
2020-04-06,South Carolina,186.71,4.29
2020-04-06,Rhode Island,96.29,3.29
2020-04-06,Pennsylvania,1274.14,17.43
2020-04-06,Oregon,75,1.86
2020-04-06,Oklahoma,120.71,4.86
2020-04-06,Ohio,359.57,14.57
2020-04-06,North Dakota,16.57,0
2020-04-06,North Carolina,223.86,5.14
2020-04-06,New York,9412.14,662.43
2020-04-06,New Mexico,57.71,1.14
2020-04-06,New Jersey,3493.43,115.14
2020-04-06,New Hampshire,57.29,0.86
2020-04-06,Nevada,132.43,5.71
2020-04-06,Nebraska,36.14,1
2020-04-06,Montana,20.29,0.29
2020-04-06,Missouri,239,6.14
2020-04-06,Mississippi,127.14,5
2020-04-06,Minnesota,58.57,2.86
2020-04-06,Michigan,1517.29,75.71
2020-04-06,Massachusetts,1155,29.14
2020-04-06,Maryland,375.71,11
2020-04-06,Maine,32,1
2020-04-06,Louisiana,1549,46.57
2020-04-06,Kentucky,82.43,5.86
2020-04-06,Kansas,68.57,2.29
2020-04-06,Iowa,74.57,2.71
2020-04-06,Indiana,455.57,18.14
2020-04-06,Illinois,1027.43,32.14
2020-04-06,Idaho,107.86,0.86
2020-04-06,Hawaii,25.86,0.71
2020-04-06,Georgia,646.57,27.29
2020-04-06,Florida,1132.29,25.86
2020-04-06,District of Columbia,99.43,2.14
2020-04-06,Delaware,74.14,1.14
2020-04-06,Connecticut,619.29,24.29
2020-04-06,Colorado,363.43,14.14
2020-04-06,California,1277.14,34.14
2020-04-06,Arkansas,59.86,1.29
2020-04-06,Arizona,185.29,6.71
2020-04-06,Alaska,9.86,0.29
2020-04-06,Alabama,151.14,6
2020-04-07,Northern Mariana Islands,0.86,0.29
2020-04-07,Guam,19.29,0.29
2020-04-07,Puerto Rico,47.71,2.14
2020-04-07,Virgin Islands,2.14,0.14
2020-04-07,Wyoming,14.29,0
2020-04-07,Wisconsin,175.29,9.86
2020-04-07,West Virginia,35.86,0.43
2020-04-07,Washington,484.29,26.14
2020-04-07,Virginia,297.57,8.5
2020-04-07,Vermont,40.29,1.43
2020-04-07,Utah,121.43,1.14
2020-04-07,Texas,768.57,17.14
2020-04-07,Tennessee,280.14,8.43
2020-04-07,South Dakota,30.43,0.71
2020-04-07,South Carolina,190.57,4.14
2020-04-07,Rhode Island,105.86,3.14
2020-04-07,Pennsylvania,1369.29,24.14
2020-04-07,Oregon,70.14,2.14
2020-04-07,Oklahoma,129.14,6.29
2020-04-07,Ohio,369.14,16
2020-04-07,North Dakota,15.86,0.14
2020-04-07,North Carolina,241.86,5.71
2020-04-07,New York,9356,750.86
2020-04-07,New Mexico,68.43,1.14
2020-04-07,New Jersey,3674.29,137.86
2020-04-07,New Hampshire,54.29,1.43
2020-04-07,Nevada,141.14,4.86
2020-04-07,Nebraska,41.71,1.14
2020-04-07,Montana,17.29,0.14
2020-04-07,Missouri,241,9.29
2020-04-07,Mississippi,139.71,5.57
2020-04-07,Minnesota,62.86,3.14
2020-04-07,Michigan,1603.14,83
2020-04-07,Massachusetts,1226,38.14
2020-04-07,Maryland,387,12.29
2020-04-07,Maine,30.86,1
2020-04-07,Louisiana,1578.14,48.86
2020-04-07,Kentucky,99.86,6.86
2020-04-07,Kansas,67.14,2.86
2020-04-07,Iowa,78.57,2.71
2020-04-07,Indiana,481,21
2020-04-07,Illinois,1079.57,39.57
2020-04-07,Idaho,97.71,0.86
2020-04-07,Hawaii,26.29,0.57
2020-04-07,Georgia,720,31.71
2020-04-07,Florida,1142.43,30
2020-04-07,District of Columbia,102.29,2.14
2020-04-07,Delaware,87,0.86
2020-04-07,Connecticut,664.71,29.71
2020-04-07,Colorado,348.43,15.71
2020-04-07,California,1279.57,37.57
2020-04-07,Arkansas,61.86,1.43
2020-04-07,Arizona,182.71,7.57
2020-04-07,Alaska,11.14,0.29
2020-04-07,Alabama,171.14,7.14
2020-04-08,Northern Mariana Islands,0.71,0.14
2020-04-08,Guam,37.43,0.14
2020-04-08,Puerto Rico,47.71,1.86
2020-04-08,Virgin Islands,2.29,0.14
2020-04-08,Wyoming,13.14,0
2020-04-08,Wisconsin,172,10.57
2020-04-08,West Virginia,41.71,0.29
2020-04-08,Washington,501.29,25.71
2020-04-08,Virginia,304.71,8.5
2020-04-08,Vermont,40.57,1
2020-04-08,Utah,121.14,0.86
2020-04-08,Texas,785,18.57
2020-04-08,Tennessee,222.43,8.57
2020-04-08,South Dakota,37.71,0.71
2020-04-08,South Carolina,179.86,5.29
2020-04-08,Rhode Island,126.29,3.57
2020-04-08,Pennsylvania,1515.57,33.57
2020-04-08,Oregon,71.71,2.71
2020-04-08,Oklahoma,114.86,7
2020-04-08,Ohio,371.57,18.29
2020-04-08,North Dakota,14.86,0.14
2020-04-08,North Carolina,261.71,7.14
2020-04-08,New York,9558.14,817.57
2020-04-08,New Mexico,71.71,1.43
2020-04-08,New Jersey,3597.43,164.14
2020-04-08,New Hampshire,53.29,2
2020-04-08,Nevada,148.43,6.86
2020-04-08,Nebraska,41.29,1.29
2020-04-08,Montana,16.14,0.14
2020-04-08,Missouri,249.57,9.29
2020-04-08,Mississippi,132.86,6.43
2020-04-08,Minnesota,66.43,3.14
2020-04-08,Michigan,1561.14,89
2020-04-08,Massachusetts,1293.14,44.43
2020-04-08,Maryland,506.29,13
2020-04-08,Maine,27.57,1
2020-04-08,Louisiana,1515.14,53.86
2020-04-08,Kentucky,102.71,7.57
2020-04-08,Kansas,80.86,3.86
2020-04-08,Iowa,85.14,2.57
2020-04-08,Indiana,486.86,23.71
2020-04-08,Illinois,1157.14,45.43
2020-04-08,Idaho,80.43,1.43
2020-04-08,Hawaii,25,0.57
2020-04-08,Georgia,779.57,30.86
2020-04-08,Florida,1131.57,31.71
2020-04-08,District of Columbia,122,2.29
2020-04-08,Delaware,106.86,1.14
2020-04-08,Connecticut,746.29,35.71
2020-04-08,Colorado,329.86,16
2020-04-08,California,1312.29,42
2020-04-08,Arkansas,64.71,1.14
2020-04-08,Arizona,187.57,7.29
2020-04-08,Alaska,11.57,0.43
2020-04-08,Alabama,198.57,5.57
2020-04-09,Northern Mariana Islands,0.43,0.14
2020-04-09,Guam,55.71,0.14
2020-04-09,Puerto Rico,52.43,3
2020-04-09,Virgin Islands,1.86,0.14
2020-04-09,Wyoming,12.67,0
2020-04-09,Wisconsin,165,11.29
2020-04-09,West Virginia,43.86,0.43
2020-04-09,Washington,431.86,26.29
2020-04-09,Virginia,333.57,16.67
2020-04-09,Vermont,41.43,0.86
